Game_Number,Game_ID,Player,Team_ID,Team,MIN,PTS,REB,AST,STL,BLK,TOV,FG_PCT,FG3_PCT,FT_PCT,PLUS_MINUS
1,0042400402,Pascal Siakam,1610612754,Pacers,29.000000:34,15.0,7.0,4.0,0.0,2.0,0,0.273,0.25,0.889,-15.0
1,0042400402,Myles Turner,1610612754,Pacers,27.000000:16,16.0,4.0,4.0,0.0,0.0,0,0.5,0.2,0.75,-4.0
1,0042400402,Tyrese Haliburton,1610612754,Pacers,34.000000:16,17.0,3.0,6.0,2.0,2.0,0,0.538,0.375,0.0,-5.0
1,0042400402,Jalen Williams,1610612760,Thunder,33.000000:51,19.0,5.0,5.0,1.0,0.0,0,0.357,0.2,0.889,5.0
1,0042400402,Shai Gilgeous-Alexander,1610612760,Thunder,36.000000:25,34.0,5.0,8.0,4.0,1.0,0,0.524,0.25,0.917,5.0
2,0042400403,Jalen Williams,1610612760,Thunder,36.000000:27,26.0,6.0,3.0,1.0,0.0,0,0.5,0.5,0.636,-9.0
2,0042400403,Shai Gilgeous-Alexander,1610612760,Thunder,42.000000:02,24.0,8.0,4.0,0.0,3.0,0,0.45,0.333,0.833,-3.0
2,0042400403,Pascal Siakam,1610612754,Pacers,31.000000:58,21.0,6.0,4.0,2.0,1.0,0,0.571,0.0,0.833,8.0
2,0042400403,Myles Turner,1610612754,Pacers,29.000000:44,9.0,2.0,1.0,1.0,5.0,0,0.273,0.25,1.0,-8.0
2,0042400403,Tyrese Haliburton,1610612754,Pacers,36.000000:20,22.0,9.0,11.0,2.0,1.0,0,0.529,0.5,0.0,1.0
3,0042400404,Jalen Williams,1610612760,Thunder,35.000000:48,27.0,7.0,3.0,0.0,0.0,0,0.444,0.0,1.0,0.0
3,0042400404,Shai Gilgeous-Alexander,1610612760,Thunder,40.000000:09,35.0,3.0,0.0,3.0,1.0,0,0.5,0.25,1.0,0.0
3,0042400404,Pascal Siakam,1610612754,Pacers,35.000000:01,20.0,8.0,5.0,5.0,1.0,0,0.4,0.333,0.75,7.0
3,0042400404,Myles Turner,1610612754,Pacers,30.000000:27,12.0,2.0,2.0,0.0,0.0,0,0.3,0.0,1.0,-6.0
3,0042400404,Tyrese Haliburton,1610612754,Pacers,36.000000:27,18.0,2.0,7.0,2.0,0.0,0,0.467,0.143,1.0,1.0
4,0042400405,Pascal Siakam,1610612754,Pacers,33.000000:16,28.0,6.0,5.0,3.0,2.0,0,0.6,0.5,0.875,-5.0
4,0042400405,Myles Turner,1610612754,Pacers,24.000000:41,13.0,6.0,1.0,1.0,0.0,0,0.6,0.5,0.857,-7.0
4,0042400405,Tyrese Haliburton,1610612754,Pacers,34.000000:09,4.0,7.0,6.0,0.0,0.0,0,0.0,0.0,1.0,-13.0
4,0042400405,Jalen Williams,1610612760,Thunder,35.000000:11,40.0,6.0,4.0,1.0,0.0,0,0.56,0.6,0.75,14.0
4,0042400405,Shai Gilgeous-Alexander,1610612760,Thunder,37.000000:57,31.0,2.0,10.0,2.0,4.0,0,0.429,0.0,0.929,9.0
5,0042400406,Jalen Williams,1610612760,Thunder,26.000000:51,16.0,3.0,1.0,0.0,0.0,0,0.462,0.0,0.8,-40.0
5,0042400406,Shai Gilgeous-Alexander,1610612760,Thunder,30.000000:56,21.0,4.0,2.0,0.0,0.0,0,0.467,0.0,0.875,-17.0
5,0042400406,Pascal Siakam,1610612754,Pacers,32.000000:02,16.0,13.0,3.0,0.0,1.0,0,0.429,0.333,1.0,13.0
5,0042400406,Myles Turner,1610612754,Pacers,26.000000:09,3.0,4.0,1.0,0.0,2.0,0,0.111,0.0,0.5,19.0
5,0042400406,Tyrese Haliburton,1610612754,Pacers,22.000000:53,14.0,1.0,5.0,2.0,0.0,0,0.417,0.429,1.0,25.0
6,0042400407,Pascal Siakam,1610612754,Pacers,36.000000:55,16.0,4.0,2.0,1.0,1.0,0,0.385,0.4,0.571,-4.0
6,0042400407,Myles Turner,1610612754,Pacers,23.000000:49,6.0,4.0,1.0,0.0,0.0,0,0.5,0.333,0.25,-12.0
6,0042400407,Tyrese Haliburton,1610612754,Pacers,7.000000:05,9.0,0.0,0.0,0.0,0.0,0,0.6,0.75,0.0,-2.0
6,0042400407,Jalen Williams,1610612760,Thunder,38.000000:12,20.0,4.0,4.0,2.0,0.0,0,0.35,0.286,0.667,13.0
6,0042400407,Shai Gilgeous-Alexander,1610612760,Thunder,40.000000:11,29.0,5.0,12.0,1.0,2.0,0,0.296,0.167,0.917,11.0
