TEAM,HOME_ATT,HOME_AVG,ROAD_ATT,ROAD_AVG
Atlanta Hawks,657613,16440,742608,18112
Boston Celtics,785396,19156,759359,18521
Brooklyn Nets,713304,17398,739772,18043
Charlotte Hornets,703935,17169,750877,18314
Chicago Bulls,825659,20138,747324,18227
Cleveland Cavaliers,796712,19432,756117,18442
Dallas Mavericks,803174,20079,759109,18074
Denver Nuggets,811211,19786,741843,18094
Detroit Pistons,781929,19071,738664,18016
Golden State Warriors,740624,18064,761128,18564
Houston Rockets,716853,17484,720301,18008
Indiana Pacers,669499,16737,712613,17815
Los Angeles Clippers,679220,16566,746326,18203
Los Angeles Lakers,767626,18723,770647,18796
Memphis Grizzlies,683067,16660,743396,18132
Miami Heat,808337,19716,725899,18147
Milwaukee Bucks,714901,17437,734310,18358
Minnesota Timberwolves,772249,18835,744788,18166
New Orleans Pelicans,689400,16815,736093,17953
New York Knickerbockers,811794,19800,757088,18466
Oklahoma City Thunder,736895,17973,730217,18255
Orlando Magic,762121,18588,738221,18005
Philadelphia 76ers,813621,19844,732808,17873
Phoenix Suns,699911,17071,742767,18116
Portland Trail Blazers,719369,17546,730070,17807
Sacramento Kings,696409,16986,735306,17934
San Antonio Spurs,715765,17894,727613,18190
Toronto Raptors,768573,18746,739242,18030
Utah Jazz,745175,18175,725614,17698
Washington Wizards,643363,16084,743585,18136
